Lexie's opinion!,,class,label,description
,615,completion.title_iv.no_loan.transf_withdrawn_4yr_by.8yrs,NOLOAN_WDRAW_4YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 8 years
,616,academics.program.certificate_lt_1_yr.ethnic_cultural_gender,CIP05CERT1,"Certificate of less than one academic year in Area, Ethnic, Cultural, Gender, And Group Studies."
,617,completion.title_iv.male.transf_still_enrolled_2yr_by.2yrs,MALE_ENRL_2YR_TRANS_YR2_RT,Percent of male students who transferred to a 2-year institution and were still enrolled within 2 years
,618,completion.title_iv.no_pell.transf_completed_2yr_by.6yrs,NOPELL_COMP_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 6 years
,619,student.demographics.race_ethnicity.nhpi,UGDS_NHPI,Total share of enrollment of undergraduate degree-seeking students who are Native Hawaiian/Pacific Islander
,620,completion.title_iv.no_loan.still_enrolled_by.6yrs,NOLOAN_ENRL_ORIG_YR6_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 6 years
,621,completion.title_iv.not_first_gen.completed_by.6yrs,NOT1STGEN_COMP_ORIG_YR6_RT,Percent of not-first-generation students who completed within 6 years at original institution
,622,student.retention_rate.lt_four_year.part_time,RET_PTL4,"First-time, part-time student retention rate at less-than-four-year institutions"
,623,completion.title_iv.female.died_by.8yrs,FEMALE_DEATH_YR8_RT,Percent of female students who died within 8 years at original institution
,624,repayment.7_yr_repayment.overall,RPY_7YR_N,Number of students in the 7-year repayment rate cohort
,625,academics.program.certificate_lt_1_yr.architecture,CIP04CERT1,Certificate of less than one academic year in Architecture And Related Services.
,626,school.degrees_awarded.predominant,PREDDEG,"Predominant degree awarded
0        Not classified
1        Predominantly certificate-degree granting
2        Predominantly associate's-degree granting
3        Predominantly bachelor's-degree granting
4        Entirely graduate-degree granting"
,627,admissions.act_scores.midpoint.writing,ACTWRMID,Midpoint of the ACT writing score
,628,student.demographics.race_ethnicity.white_non_hispanic,UGDS_WHITENH,Total share of enrollment of undergraduate degree-seeking students who are white non-Hispanic
,629,student.share_independent_highincome.75001_110000,IND_INC_PCT_H1,"Independent students with family incomes between $75,001-$110,000 in nominal dollars"
,630,completion.title_iv.depend.still_enrolled_by.4yrs,DEP_ENRL_ORIG_YR4_RT,Percent of dependent students who were still enrolled at original institution within 4 years
,631,academics.program.certificate_lt_2_yr.resources,CIP03CERT2,Certificate of at least one but less than two academic years in Natural Resources And Conservation.
,632,completion.title_iv.low_inc.transf_withdrawn_4yr_by.6yrs,LO_INC_WDRAW_4YR_TRANS_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 6 years"
,633,school.locale,LOCALE,Locale of institution
,634,completion.completion_rate_l4yr_150_white_pre2010,C150_L4_WHITENH,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for white non-Hispanic students"
,635,repayment.5_yr_repayment.income.greater_than_75000,HI_INC_RPY_5YR_RT,"Five-year repayment rate by family income ($75,000+)"
,636,completion.title_iv.still_enrolled_by.2yrs,ENRL_ORIG_YR2_RT,Percent still enrolled at original institution within 2 years 
,637,student.fafsa_sent.1_college,fsend_1,Share of students who submitted FAFSAs to only one college
,638,completion.title_iv.female.transf_unknown_4yr_by.2yrs,FEMALE_UNKN_4YR_TRANS_YR2_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 2 years
,639,earnings.8_yrs_after_entry.std_deviation,sd_earn_wne_p8,Standard deviation of earnings of students working and not enrolled 8 years after entry
,640,completion.title_iv.not_first_gen.transf_withdrawn_4yr_by.4yrs,NOT1STGEN_WDRAW_4YR_TRANS_YR4_RT,Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 4 years
,641,earnings.10_yrs_after_entry.mean_earnings.female_students,mn_earn_wne_male0_p10,Mean earnings of female students working and not enrolled 10 years after entry
,642,earnings.10_yrs_after_entry.working_not_enrolled.overall,count_wne_p10,Number of students working and not enrolled 10 years after entry
,643,completion.title_iv.first_gen.died_by.6yrs,FIRSTGEN_DEATH_YR6_RT,Percent of first-generation students who died within 6 years at original institution
,644,completion.title_iv.high_inc.completed_by.6yrs,HI_INC_COMP_ORIG_YR6_RT,"Percent of high-income (above $75,000 in nominal family income) students who completed within 6 years at original institution"
,645,completion.title_iv.first_gen.transf_completed_4yr_by.8yrs,FIRSTGEN_COMP_4YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 4-year institution and completed within 8 years
,646,completion.6_yr_completion.pell_grant,PELL_YR6_N,Number of Pell students in overall 6-year completion cohort
,647,earnings.8_yrs_after_entry.10th_percentile_earnings,pct10_earn_wne_p8,10th percentile of earnings of students working and not enrolled 8 years after entry
,648,completion.title_iv.high_inc.died_by.8yrs,HI_INC_DEATH_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who died within 8 years at original institution"
,649,academics.program.certificate_lt_1_yr.humanities,CIP24CERT1,"Certificate of less than one academic year in Liberal Arts And Sciences, General Studies And Humanities."
,650,completion.title_iv.unknown_by.3yrs,UNKN_ORIG_YR3_RT,Percent with status unknown within 3 years at original institution
,651,completion.title_iv.independ.died_by.6yrs,IND_DEATH_YR6_RT,Percent of independent students who died within 6 years at original institution
,652,completion.title_iv.independ.withdrawn_by.2yrs,IND_WDRAW_ORIG_YR2_RT,Percent of independent students withdrawn from original institution within 2 years 
,653,completion.title_iv.no_loan.still_enrolled_by.4yrs,NOLOAN_ENRL_ORIG_YR4_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 4 years
,654,completion.title_iv.no_pell.died_by.8yrs,NOPELL_DEATH_YR8_RT,Percent of students who never received a Pell Grant at the institution and who died within 8 years at original institution
,655,student.demographics.race_ethnicity.aian,UGDS_AIAN,Total share of enrollment of undergraduate degree-seeking students who are American Indian/Alaska Native
,656,academics.program.certificate_lt_1_yr.mathematics,CIP27CERT1,Certificate of less than one academic year in Mathematics And Statistics.
,657,completion.6_yr_completion.no_loan_students,NOLOAN_YR6_N,Number of no-loan students in overall 6-year completion cohort
,658,completion.title_iv.no_loan.transf_unknown_4yr_by.4yrs,NOLOAN_UNKN_4YR_TRANS_YR4_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
,659,cost.title_iv.public.by_income_level.48001-75000,NUM43_PUB,"Number of Title IV students, $48,001-$75,000 family income (public institutions)"
,660,admissions.sat_scores.75th_percentile.math,SATMT75,75th percentile of SAT scores at the institution (math)
,661,completion.title_iv.pell_recip.transf_withdrawn_2yr_by.6yrs,PELL_WDRAW_2YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 6 years
,662,completion.title_iv.no_loan.unknown_by.4yrs,NOLOAN_UNKN_ORIG_YR4_RT,Percent of students who never received a federal loan at the institution and with status unknown within 4 years at original institution
,663,completion.title_iv.high_inc.transf_still_enrolled_2yr_by.6yrs,HI_INC_ENRL_2YR_TRANS_YR6_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 6 years"
,664,completion.title_iv.female.transf_still_enrolled_2yr_by.8yrs,FEMALE_ENRL_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and were still enrolled within 8 years
,665,completion.title_iv.high_inc.transf_still_enrolled_2yr_by.2yrs,HI_INC_ENRL_2YR_TRANS_YR2_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years"
,666,completion.title_iv.mid_inc.still_enrolled_by.2yrs,MD_INC_ENRL_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 2 years "
,667,completion.6_yr_completion.female_students,FEMALE_YR6_N,Number of female students in overall 6-year completion cohort
,668,academics.program.certificate_lt_2_yr.education,CIP13CERT2,Certificate of at least one but less than two academic years in Education.
,669,completion.title_iv.no_loan.transf_completed_4yr_by.2yrs,NOLOAN_COMP_4YR_TRANS_YR2_RT,Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 2 years
,670,completion.title_iv.no_pell.transf_unknown_4yr_by.2yrs,NOPELL_UNKN_4YR_TRANS_YR2_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years
,671,completion.title_iv.first_gen.unknown_by.8yrs,FIRSTGEN_UNKN_ORIG_YR8_RT,Percent of first-generation students with status unknown within 8 years at original institution
,672,completion.title_iv.mid_inc.transf_completed_2yr_by.8yrs,MD_INC_COMP_2YR_TRANS_YR8_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 8 years"
,673,completion.title_iv.transf_unknown_4yr_by.8yrs,UNKN_4YR_TRANS_YR8_RT,Percent who transferred to a 4-year institution and whose status is unknown within 8 years
,674,student.demographics.share_bachelors_degree_age25.home_ZIP,pct_ba,"Percent of the population from students' zip codes with a bachelor's degree over the age 25, via Census data"
,675,school.branches,NUMBRANCH,Number of branch campuses
,676,repayment.5_yr_repayment.income.0_30000,LO_INC_RPY_5YR_RT,"Five-year repayment rate by family income ($0-30,000)"
,677,earnings.8_yrs_after_entry.working_not_enrolled,count_wne_p8,Number of students working and not enrolled 8 years after entry
,678,completion.title_iv.first_gen.still_enrolled_by.3yrs,FIRSTGEN_ENRL_ORIG_YR3_RT,Percent of first-generation students who were still enrolled at original institution within 3 years
,679,cost.avg_net_price.private,NPT4_PRIV,Average net price for Title IV institutions (private for-profit and nonprofit institutions)
,680,completion.title_iv.depend.transf_completed_2yr_by.2yrs,DEP_COMP_2YR_TRANS_YR2_RT,Percent of dependent students who transferred to a 2-year institution and completed within 2 years
,681,academics.program.assoc.business_marketing,CIP52ASSOC,"Associate degree in Business, Management, Marketing, And Related Support Services."
,682,completion.title_iv.unknown_by.4yrs,UNKN_ORIG_YR4_RT,Percent with status unknown within 4 years at original institution
,683,student.share_dependent_middleincome.300001_48000,DEP_INC_PCT_M1,"Dependent students with family incomes between $30,001-$48,000 in nominal dollars"
,684,completion.title_iv.female.unknown_by.2yrs,FEMALE_UNKN_ORIG_YR2_RT,Percent of female students with status unknown within 2 years at original institution
,685,completion.title_iv.male.died_by.4yrs,MALE_DEATH_YR4_RT,Percent of male students who died within 4 years at original institution
,686,completion.2_yr_completion.dependent_students,DEP_YR2_N,Number of dependent students in overall 2-year completion cohort
,687,student.share_dependent_highincome.75001_110000,DEP_INC_PCT_H1,"Dependent students with family incomes between $75,001-$110,000 in nominal dollars"
,688,completion.title_iv.high_inc.transf_withdrawn_2yr_by.4yrs,HI_INC_WDRAW_2YR_TRANS_YR4_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 4 years"
,689,student.demographics.non_resident_aliens_2000,UG_NRA,Total share of enrollment of undergraduate students who are non-resident aliens
